# line in x
timestamp, encoder0, encoder1, encoder2
258623041, -38, 31, 1362
258626056, -38, 31, 1362
258642071, -38, 31, 1362
258645042, -38, 31, 1363
258662031, -38, 31, 1363
258665040, -38, 31, 1363
258681029, -38, 31, 1363
258685042, -38, 31, 1363
258700030, -38, 31, 1363
258705040, -38, 31, 1363
258719031, -38, 31, 1363
258725042, -38, 31, 1363
258738041, -38, 31, 1363
258745040, -38, 31, 1363
258758031, -38, 31, 1363
258765039, -38, 31, 1363
258777042, -38, 31, 1363
258784026, -38, 31, 1363
258797040, -38, 31, 1363
258803038, -38, 31, 1363
258817040, -38, 31, 1363
258822026, -38, 31, 1363
258837031, -38, 31, 1363
258841047, -38, 31, 1363
258856041, -38, 31, 1363
258861031, -38, 31, 1363
258876031, -38, 31, 1363
258881060, -38, 31, 1363
258895040, -38, 31, 1363
258901031, -38, 31, 1363
258915031, -38, 31, 1363
258921042, -38, 31, 1363
258934041, -38, 31, 1363
258941039, -38, 31, 1363
258954031, -38, 31, 1363
258961040, -38, 31, 1363
258973042, -38, 31, 1363
258980025, -38, 31, 1363
258993040, -38, 31, 1363
258999037, -38, 31, 1363
259013040, -38, 31, 1363
259018025, -38, 31, 1363
259033031, -38, 31, 1363
259037057, -38, 31, 1363
259052031, -38, 31, 1363
259057031, -38, 31, 1363
259072031, -38, 31, 1363
259077060, -38, 31, 1363
259091040, -38, 31, 1363
259097031, -38, 31, 1363
259111031, -38, 31, 1363
259117040, -38, 31, 1363
259130041, -38, 31, 1363
259136027, -38, 31, 1363
259150031, -38, 31, 1363
259155062, -38, 31, 1363
259169042, -38, 31, 1363
259175026, -38, 31, 1363
259189040, -38, 31, 1363
259194077, -38, 31, 1363
259208048, -38, 31, 1363
259214031, -38, 31, 1363
259228031, -38, 31, 1363
259234049, -38, 31, 1363
259247051, -38, 31, 1363
259253031, -38, 31, 1363
259267031, -38, 31, 1363
259273049, -38, 31, 1363
259286044, -38, 31, 1363
259293031, -38, 31, 1363
259306031, -38, 31, 1363
259313046, -38, 31, 1363
259325031, -38, 31, 1363
259333031, -38, 31, 1363
259345031, -38, 31, 1363
259353040, -38, 31, 1363
259364031, -38, 31, 1363
259373040, -38, 31, 1363
259383042, -38, 31, 1363
259392027, -38, 31, 1363
259403040, -38, 31, 1363
259411027, -38, 31, 1363
259423040, -38, 31, 1363
259430026, -38, 31, 1363
259443031, -38, 31, 1363
259449032, -38, 31, 1363
259462031, -38, 31, 1363
259469031, -38, 31, 1363
259482029, -38, 31, 1363
259489031, -38, 31, 1363
259501032, -38, 31, 1363
259508031, -38, 31, 1363
259521031, -38, 31, 1363
259528031, -38, 31, 1363
259541031, -38, 31, 1363
259548031, -38, 31, 1363
259561031, -38, 31, 1363
259568031, -38, 31, 1363
259581040, -38, 31, 1363
259587040, -38, 31, 1363
259601031, -38, 31, 1363
259607042, -38, 31, 1363
259620040, -38, 31, 1363
259627040, -38, 31, 1363
259640031, -38, 31, 1363
259647040, -38, 31, 1363
259659042, -38, 31, 1363
259666026, -38, 31, 1363
259679040, -38, 31, 1363
259685037, -38, 31, 1363
259699039, -38, 31, 1363
259704026, -38, 31, 1363
259719040, -38, 31, 1363
259723038, -38, 31, 1363
259739040, -38, 31, 1363
259742026, -38, 31, 1363
259759040, -38, 31, 1363
259761026, -38, 31, 1363
259779042, -38, 31, 1363
259780033, -38, 31, 1363
259799039, -38, 31, 1363
259799062, -38, 31, 1363
259818077, -38, 31, 1363
259818121, -38, 31, 1363
259837031, -38, 31, 1363
259838033, -38, 31, 1363
259856078, -38, 31, 1363
259857045, -38, 31, 1363
259876032, -38, 31, 1363
259877031, -38, 31, 1363
259896067, -38, 31, 1363
259896092, -38, 31, 1363
259915030, -38, 31, 1363
259916032, -38, 31, 1363
259934031, -38, 31, 1363
259936056, -38, 31, 1363
259953031, -38, 31, 1363
259956026, -38, 31, 1363
259973031, -38, 31, 1363
259975068, -38, 31, 1363
259992030, -38, 31, 1363
259995026, -38, 31, 1363
260012031, -38, 31, 1363
260014072, -38, 31, 1363
260031040, -38, 31, 1363
260034026, -38, 31, 1363
260051031, -38, 31, 1363
260053075, -38, 31, 1363
260070031, -38, 31, 1363
260073038, -38, 31, 1363
260089031, -38, 31, 1363
260093072, -38, 31, 1363
260108039, -38, 31, 1363
260113026, -38, 31, 1363
260128030, -38, 31, 1363
260132067, -38, 31, 1363
260147075, -38, 31, 1363
260151027, -38, 31, 1363
260167029, -38, 31, 1363
260170026, -38, 31, 1363
260187059, -38, 31, 1363
260189037, -38, 31, 1363
260207031, -38, 31, 1363
260209026, -38, 31, 1363
260227073, -38, 31, 1363
260228038, -38, 31, 1363
260247030, -38, 31, 1363
260248032, -38, 31, 1363
260266040, -38, 31, 1363
260267068, -38, 31, 1363
260285031, -38, 31, 1363
260287031, -38, 31, 1363
260305031, -38, 31, 1363
260307063, -38, 31, 1363
260324031, -38, 31, 1363
260327039, -38, 31, 1363
260343031, -38, 31, 1363
260347069, -38, 31, 1363
260362057, -38, 31, 1363
260367040, -38, 31, 1363
260382031, -38, 31, 1363
260387070, -38, 31, 1363
260401072, -38, 31, 1363
260406027, -38, 31, 1363
260421031, -38, 31, 1363
260425063, -38, 31, 1363
260440058, -38, 31, 1363
260445037, -38, 31, 1363
260460032, -38, 31, 1363
260465064, -38, 31, 1363
260479066, -38, 31, 1363
260484031, -38, 31, 1363
260499031, -38, 31, 1363
260504081, -38, 31, 1363
260518082, -38, 31, 1363
260523040, -38, 31, 1363
260538031, -38, 31, 1363
260543071, -38, 31, 1363
260557063, -38, 31, 1363
260563040, -38, 31, 1363
260577031, -38, 31, 1363
260583038, -38, 31, 1363
260596084, -38, 31, 1363
260602026, -38, 31, 1363
260616031, -38, 31, 1363
260621056, -38, 31, 1363
260635056, -38, 31, 1363
260641027, -38, 31, 1363
260655040, -38, 31, 1363
260660026, -38, 31, 1363
260675056, -38, 31, 1363
260679030, -38, 31, 1363
260695031, -38, 31, 1363
260698031, -38, 31, 1363
260715060, -38, 31, 1363
260717040, -38, 31, 1363
260735031, -38, 31, 1363
260737026, -38, 31, 1363
260755040, -38, 31, 1363
260756033, -38, 31, 1363
260775029, -38, 31, 1363
260776033, -38, 31, 1363
260794040, -38, 31, 1363
260795034, -38, 31, 1363
260814031, -38, 31, 1363
260815033, -38, 31, 1363
260833042, -38, 31, 1363
260834033, -38, 31, 1363
260853040, -38, 31, 1363
260853065, -38, 31, 1363
260872057, -38, 31, 1363
260873042, -38, 31, 1363
260892032, -38, 31, 1363
260893040, -38, 31, 1363
260911062, -38, 31, 1363
260912038, -38, 31, 1363
260931031, -38, 31, 1363
260932032, -38, 31, 1363
260950080, -38, 31, 1363
260951059, -38, 31, 1363
260970031, -38, 31, 1363
260971031, -38, 31, 1363
260990059, -38, 31, 1363
260990111, -38, 31, 1363
261009031, -38, 31, 1363
261010032, -38, 31, 1363
261028031, -38, 31, 1363
261030037, -38, 31, 1363
261047031, -38, 31, 1363
261050027, -38, 31, 1363
261067031, -38, 31, 1363
261069047, -38, 31, 1363
261086032, -38, 31, 1363
261089029, -38, 31, 1363
261106031, -38, 31, 1363
261108040, -38, 31, 1363
261125031, -38, 31, 1363
261128026, -38, 31, 1363
261145031, -38, 31, 1363
261147071, -38, 31, 1363
261164031, -38, 31, 1363
261167025, -38, 31, 1363
261184031, -38, 31, 1363
261186046, -38, 31, 1363
261203031, -38, 31, 1363
261206026, -38, 31, 1363
261223031, -38, 31, 1363
261225051, -38, 31, 1363
261242040, -38, 31, 1363
261245027, -38, 31, 1363
261262031, -38, 31, 1363
261264051, -38, 31, 1363
261281030, -38, 31, 1363
261284040, -38, 31, 1363
261300031, -38, 31, 1363
261304057, -38, 31, 1363
261319056, -38, 31, 1363
261324027, -38, 31, 1363
261339031, -38, 31, 1363
261343049, -38, 31, 1363
261358058, -38, 31, 1363
261362026, -38, 31, 1363
261378031, -38, 31, 1363
261381026, -38, 31, 1363
261398051, -38, 31, 1363
261400028, -38, 31, 1363
261418030, -38, 31, 1363
261419033, -38, 31, 1363
261437042, -38, 31, 1363
261438042, -38, 31, 1363
261457032, -38, 31, 1363
261458041, -38, 31, 1363
261476058, -38, 31, 1363
261477049, -38, 31, 1363
261496031, -38, 31, 1363
261497033, -38, 31, 1363
261515065, -38, 31, 1363
261516044, -38, 31, 1363
261535031, -38, 31, 1363
261536032, -38, 31, 1363
261554066, -38, 31, 1363
261555046, -38, 31, 1363
261574030, -38, 31, 1363
261575031, -38, 31, 1363
261593066, -38, 31, 1363
261594050, -38, 31, 1363
261613031, -38, 31, 1363
261614033, -38, 31, 1363
261632049, -38, 31, 1363
261633058, -38, 31, 1363
261651031, -22, 69, 1365
261653031, -19, 76, 1365
261671031, -5, 158, 1317
261673067, -5, 168, 1307
261690037, -6, 302, 1173
261693030, -5, 331, 1148
261710036, -6, 533, 952
261712075, -7, 557, 930
261729032, -28, 796, 677
261732029, -31, 838, 627
261749033, -38, 1115, 340
261751044, -38, 1149, 308
261768032, -37, 1461, -11
261771029, -36, 1511, -66
261788031, -24, 1869, -416
261790041, -23, 1910, -452
261807031, -3, 2310, -852
261810033, -3, 2379, -910
261826040, -8, 2799, -1337
261829040, -13, 2874, -1405
261846040, -29, 3349, -1888
261849028, -30, 3432, -1967
261866031, -13, 3924, -2453
261868050, -11, 3986, -2512
261885031, -8, 4561, -3086
261888040, -5, 4665, -3183
261904031, 3, 5240, -3758
261908059, 2, 5392, -3912
261923042, -1, 5920, -4452
261928027, -6, 6133, -4679
261943031, -2, 6732, -5266
261947025, 3, 6902, -5451
261963046, 12, 7545, -6096
261966027, 13, 7691, -6236
261983031, 13, 8506, -7034
261985026, 13, 8599, -7128
262003040, -2, 9490, -8033
262004033, -2, 9540, -8084
262023040, 15, 10522, -9065
262023066, 15, 10523, -9066
262042042, 24, 11546, -10053
262043040, 24, 11595, -10107
262062031, 12, 12614, -11128
262063033, 12, 12668, -11185
262081039, 12, 13761, -12303
262082033, 12, 13822, -12360
262101031, 10, 14964, -13503
262102033, 10, 15025, -13565
262120040, 33, 16114, -14595
262121033, 34, 16190, -14665
262140031, 44, 17447, -15955
262141033, 43, 17516, -16022
262159041, 33, 18758, -17276
262160033, 35, 18829, -17347
