# line in x
timestamp, encoder0, encoder1, encoder2
368720098, -28, 76704, -75201
368720126, -28, 76704, -75201
368739068, -28, 76704, -75201
368740038, -28, 76704, -75201
368759031, -28, 76704, -75201
368760031, -28, 76704, -75201
368779044, -28, 76704, -75201
368779077, -28, 76704, -75201
368798032, -28, 76704, -75201
368799040, -28, 76704, -75201
368817054, -28, 76704, -75201
368818039, -28, 76704, -75201
368837031, -28, 76704, -75201
368838031, -28, 76704, -75201
368857065, -28, 76704, -75201
368857112, -28, 76704, -75201
368876031, -28, 76704, -75201
368877033, -28, 76704, -75201
368895075, -28, 76704, -75201
368896053, -28, 76704, -75201
368915031, -28, 76704, -75201
368916032, -28, 76704, -75201
368934076, -28, 76704, -75201
368935060, -28, 76704, -75201
368954031, -28, 76704, -75201
368955033, -28, 76704, -75201
368973078, -28, 76704, -75201
368974043, -28, 76704, -75201
368993030, -28, 76704, -75201
368994033, -28, 76704, -75201
369012031, -28, 76704, -75201
369014055, -28, 76704, -75201
369031031, -28, 76704, -75201
369034027, -28, 76704, -75201
369051031, -28, 76704, -75201
369053053, -28, 76704, -75201
369070031, -28, 76704, -75201
369073027, -28, 76704, -75201
369090031, -28, 76704, -75201
369092076, -28, 76704, -75201
369109031, -28, 76704, -75201
369112026, -28, 76704, -75201
369129032, -28, 76704, -75201
369131058, -28, 76704, -75201
369148032, -28, 76704, -75201
369151031, -28, 76704, -75201
369168031, -28, 76704, -75201
369171060, -28, 76704, -75201
369187032, -28, 76704, -75201
369191031, -28, 76704, -75201
369207031, -28, 76704, -75201
369211049, -28, 76704, -75201
369226032, -28, 76704, -75201
369231027, -28, 76704, -75201
369246031, -28, 76704, -75201
369250042, -28, 76704, -75201
369265031, -28, 76704, -75201
369270026, -28, 76704, -75201
369285031, -28, 76704, -75201
369289049, -28, 76704, -75201
369304040, -28, 76704, -75201
369309025, -28, 76704, -75201
369324030, -28, 76704, -75201
369328055, -28, 76704, -75201
369343032, -28, 76704, -75201
369348029, -28, 76704, -75201
369363031, -28, 76704, -75201
369367059, -28, 76704, -75201
369382041, -28, 76704, -75201
369387032, -28, 76704, -75201
369402031, -28, 76704, -75201
369407083, -28, 76704, -75201
369421042, -28, 76704, -75201
369427027, -28, 76704, -75201
369441031, -28, 76704, -75201
369446061, -28, 76704, -75201
369460045, -28, 76704, -75201
369466027, -28, 76704, -75201
369480031, -28, 76704, -75201
369485027, -28, 76704, -75201
369500057, -28, 76704, -75201
369504028, -28, 76704, -75201
369520031, -28, 76704, -75201
369523026, -28, 76704, -75201
369540068, -28, 76704, -75201
369542038, -28, 76704, -75201
369560031, -28, 76704, -75201
369562025, -28, 76704, -75201
369580058, -28, 76704, -75201
369581044, -28, 76704, -75201
369600032, -28, 76704, -75201
369601040, -28, 76704, -75201
369619031, -28, 76704, -75201
369621035, -28, 76704, -75201
369638038, -28, 76704, -75201
369640026, -28, 76704, -75201
369658077, -28, 76704, -75201
369659059, -28, 76704, -75201
369678031, -28, 76704, -75201
369679033, -28, 76704, -75201
369697079, -28, 76704, -75201
369698065, -28, 76704, -75201
369717031, -28, 76704, -75201
369718033, -28, 76704, -75201
369736080, -28, 76704, -75201
369737074, -28, 76704, -75201
369756032, -28, 76704, -75201
369757033, -28, 76704, -75201
369775082, -28, 76704, -75201
369776059, -28, 76704, -75201
369795030, -28, 76704, -75201
369796032, -28, 76704, -75201
369814031, -28, 76704, -75201
369816026, -28, 76704, -75201
369834031, -28, 76704, -75201
369835031, -28, 76704, -75201
369854031, -28, 76704, -75201
369855033, -28, 76704, -75201
369873030, -28, 76704, -75201
369875027, -28, 76704, -75201
369893031, -28, 76704, -75201
369894033, -28, 76704, -75201
369912031, -28, 76704, -75201
369914025, -28, 76704, -75201
369932031, -28, 76704, -75201
369933033, -28, 76704, -75201
369951040, -28, 76704, -75201
369952033, -28, 76704, -75201
369971031, -28, 76704, -75201
369972035, -28, 76704, -75201
369990046, -28, 76704, -75201
369991039, -28, 76704, -75201
370010031, -28, 76704, -75201
370011033, -28, 76704, -75201
370029069, -28, 76704, -75201
370030044, -28, 76704, -75201
370049031, -28, 76704, -75201
370050033, -28, 76704, -75201
370068065, -28, 76704, -75201
370069047, -28, 76704, -75201
370088031, -28, 76704, -75201
370089033, -28, 76704, -75201
370107030, -28, 76704, -75201
370109046, -28, 76704, -75201
370126031, -28, 76704, -75201
370129025, -28, 76704, -75201
370146039, -28, 76704, -75201
370148038, -28, 76704, -75201
370166040, -28, 76704, -75201
370167033, -28, 76704, -75201
370186040, -28, 76704, -75201
370186122, -28, 76704, -75201
370205032, -28, 76704, -75201
370206039, -28, 76704, -75201
370224031, -28, 76704, -75201
370226088, -28, 76704, -75201
370243032, -28, 76704, -75201
370246027, -28, 76704, -75201
370263031, -28, 76704, -75201
370265027, -28, 76704, -75201
370283031, -28, 76704, -75201
370284033, -28, 76704, -75201
370302031, -28, 76704, -75201
370304026, -28, 76704, -75201
370322032, -28, 76704, -75201
370323033, -28, 76704, -75201
370341031, -28, 76704, -75201
370343027, -28, 76704, -75201
370361032, -28, 76704, -75201
370362032, -28, 76704, -75201
370381031, -28, 76704, -75201
370382033, -28, 76704, -75201
370400071, -28, 76704, -75201
370401037, -28, 76704, -75201
370420039, -28, 76704, -75201
370420065, -28, 76704, -75201
370439042, -28, 76704, -75201
370440040, -28, 76704, -75201
370459031, -28, 76704, -75201
370460033, -28, 76704, -75201
370478042, -28, 76704, -75201
370479039, -28, 76704, -75201
370498031, -28, 76704, -75201
370499033, -28, 76704, -75201
370517041, -28, 76704, -75201
370518038, -28, 76704, -75201
370537031, -28, 76704, -75201
370538033, -28, 76704, -75201
370556063, -28, 76704, -75201
370557043, -28, 76704, -75201
370576031, -28, 76704, -75201
370577033, -28, 76704, -75201
370595079, -28, 76704, -75201
370596040, -28, 76704, -75201
370615031, -28, 76704, -75201
370616033, -28, 76704, -75201
370634064, -28, 76704, -75201
370635040, -28, 76704, -75201
370654031, -28, 76704, -75201
370655034, -28, 76704, -75201
370673063, -28, 76704, -75201
370674078, -28, 76704, -75201
370692031, -28, 76704, -75201
370694025, -28, 76704, -75201
370712078, -28, 76704, -75201
370713047, -28, 76704, -75201
370732031, -28, 76704, -75201
370733033, -28, 76704, -75201
370751073, -28, 76704, -75201
370752064, -28, 76704, -75201
370771031, -28, 76704, -75201
370772033, -28, 76704, -75201
370790066, -28, 76704, -75201
370791068, -28, 76704, -75201
370809031, -28, 76704, -75201
370811027, -28, 76704, -75201
370829065, -28, 76704, -75201
370830042, -28, 76704, -75201
370849031, -28, 76704, -75201
370850033, -28, 76704, -75201
370868031, -28, 76704, -75201
370870079, -28, 76704, -75201
370887031, -28, 76704, -75201
370890025, -28, 76704, -75201
370907031, -28, 76704, -75201
370909073, -28, 76704, -75201
370926032, -28, 76704, -75201
370929026, -28, 76704, -75201
370946031, -28, 76704, -75201
370948071, -28, 76704, -75201
370965030, -28, 76704, -75201
370968026, -28, 76704, -75201
370985032, -28, 76704, -75201
370987069, -28, 76704, -75201
371004031, -28, 76704, -75201
371007030, -28, 76704, -75201
371024031, -28, 76704, -75201
371026093, -28, 76704, -75201
371043032, -28, 76704, -75201
371046038, -28, 76704, -75201
371062031, -28, 76704, -75201
371066108, -28, 76704, -75201
371081042, -28, 76704, -75201
371086025, -28, 76704, -75201
371101031, -28, 76704, -75201
371105059, -28, 76704, -75201
371120052, -28, 76704, -75201
371125025, -28, 76704, -75201
371140040, -28, 76704, -75201
371144025, -28, 76704, -75201
371160043, -28, 76704, -75201
371163027, -28, 76704, -75201
371180040, -28, 76704, -75201
371182027, -28, 76704, -75201
371200043, -28, 76704, -75201
371201033, -28, 76704, -75201
371220040, -28, 76704, -75201
371220065, -28, 76704, -75201
371239043, -28, 76704, -75201
371240040, -28, 76704, -75201
371259032, -28, 76704, -75201
371260040, -28, 76704, -75201
371278041, -28, 76704, -75201
371279034, -28, 76704, -75201
371298031, -28, 76704, -75201
371299033, -28, 76704, -75201
371317042, -28, 76704, -75201
371318033, -28, 76704, -75201
371337031, -28, 76704, -75201
371338033, -28, 76704, -75201
371356040, -28, 76704, -75201
371357033, -28, 76704, -75201
371376031, -28, 76704, -75201
371377033, -28, 76704, -75201
371395043, -28, 76704, -75201
371396033, -28, 76704, -75201
371415040, -28, 76704, -75201
371415066, -28, 76704, -75201
371434077, -28, 76704, -75201
371434104, -28, 76704, -75201
371453040, -28, 76704, -75201
371454034, -28, 76704, -75201
371473071, -28, 76704, -75201
371473124, -28, 76704, -75201
371492031, -28, 76704, -75201
371493033, -28, 76704, -75201
371511031, -28, 76704, -75201
371513041, -28, 76704, -75201
371530031, -28, 76704, -75201
371533027, -28, 76704, -75201
371550031, -28, 76704, -75201
371552027, -28, 76704, -75201
371570032, -28, 76704, -75201
371571033, -28, 76704, -75201
371589029, -28, 76704, -75201
371591027, -28, 76704, -75201
371609032, -28, 76704, -75201
371610032, -28, 76704, -75201
371629031, -28, 76704, -75201
371630033, -28, 76704, -75201
371648032, -28, 76704, -75201
371650027, -28, 76704, -75201
371668031, -28, 76704, -75201
371669033, -28, 76704, -75201
371687041, -28, 76704, -75201
371688033, -28, 76704, -75201
371707040, -28, 76704, -75201
371707065, -28, 76704, -75201
371726042, -28, 76704, -75201
371727040, -28, 76704, -75201
371746029, -21, 76723, -75198
371747032, -20, 76725, -75198
371765042, -6, 76799, -75234
371766034, -5, 76804, -75237
371785030, 6, 76942, -75374
371786033, 6, 76951, -75381
371804063, 24, 77144, -75586
371805039, 25, 77155, -75598
371824030, 32, 77421, -75871
371825033, 33, 77436, -75887
371843061, 43, 77727, -76193
371844042, 44, 77741, -76209
371863029, 51, 78070, -76544
371864033, 51, 78090, -76563
371882051, 55, 78441, -76908
371883074, 54, 78465, -76929
371901042, 43, 78877, -77338
371903028, 41, 78917, -77386
371921047, 25, 79390, -77850
371922077, 25, 79417, -77880
371940032, 23, 79920, -78378
371942036, 22, 79981, -78434
371959086, 21, 80510, -78979
371961059, 21, 80569, -79042
371979031, 51, 81187, -79634
371981028, 55, 81251, -79693
371999062, 84, 81936, -80351
372000058, 84, 81967, -80381
372019031, 56, 82673, -81096
372020032, 56, 82712, -81130
372038061, 51, 83409, -81835
372039075, 51, 83454, -81880
372057040, 59, 84272, -82717
372059027, 65, 84363, -82804
372077072, 75, 85208, -83648
372078051, 75, 85256, -83694
372097040, 80, 86173, -84623
372098033, 81, 86220, -84672
372117090, 83, 87213, -85628
372117116, 83, 87214, -85629
372136032, 75, 88188, -86620
372137034, 73, 88249, -86681
372155079, 71, 89271, -87707
372156054, 71, 89324, -87762
372175031, 70, 90428, -88826
372176033, 71, 90483, -88892
372194031, 58, 91569, -90034
372196051, 55, 91697, -90152
372213031, 80, 92770, -91186
372216026, 80, 92967, -91367
372233031, 77, 94081, -92507
372235082, 76, 94222, -92642
372252030, 64, 95383, -93788
372255026, 64, 95591, -94004
372272031, 62, 96785, -95211
372274081, 62, 96934, -95366
372291040, 87, 98198, -96600
372294027, 88, 98421, -96826
372311031, 67, 99587, -97980
372313072, 67, 99719, -98089
372330032, 56, 101217, -99597
372333040, 58, 101454, -99836
372349030, 76, 102678, -101111
372353057, 79, 103024, -101463
372368042, 84, 104325, -102715
372373027, 82, 104732, -103144
372388030, 83, 106000, -104422
372392052, 84, 106371, -104784
372407044, 81, 107703, -106139
372412027, 75, 108108, -106560
372427040, 82, 109530, -107930
372431046, 82, 109964, -108318
372446042, 73, 111320, -109702
372451031, 61, 111762, -110164
372466031, 52, 113108, -111510
372471066, 63, 113485, -111902
372485041, 63, 115106, -113427
372491031, 73, 115685, -114016
372505029, 72, 116973, -115417
372511061, 69, 117647, -116043
372524076, 82, 118943, -117346
372530031, 92, 119505, -117952
372544029, 89, 120861, -119317
372550060, 82, 121442, -119892
372563096, 90, 122437, -120911
372569029, 91, 123062, -121528
372583031, 74, 124537, -122901
372588046, 67, 124948, -123349
372602058, 65, 126072, -124509
372607031, 49, 126510, -124893
372622037, 33, 127785, -126197
372626064, 26, 128139, -126576
372641065, 8, 129403, -127782
372645031, 7, 129711, -128087
372661033, -2, 130882, -129340
372664030, -1, 131087, -129524
372681043, -27, 132512, -130896
372683028, -30, 132663, -131052
372701033, -20, 133946, -132404
372702036, -20, 134022, -132473
372720041, -2, 135307, -133709
372721035, 0, 135374, -133782
372740031, -2, 136737, -135154
372741034, -2, 136807, -135228
372759061, 2, 138004, -136416
372760039, -1, 138069, -136490
372779030, -23, 139301, -137722
372780033, -23, 139367, -137794
372798077, -27, 140508, -138903
372799050, -27, 140570, -138958
372818032, -30, 141597, -140030
372819039, -29, 141674, -140109
372837060, -17, 142779, -141100
372838039, -19, 142826, -141153
372857031, -45, 143804, -142280
372858034, -45, 143858, -142334
372876065, -23, 144843, -143287
372877039, -20, 144898, -143331
372896031, 3, 145843, -144297
372897033, 3, 145890, -144341
372915056, 6, 146737, -145212
372916060, 8, 146783, -145253
372934031, 9, 147605, -146023
372936026, 3, 147685, -146107
372954043, -25, 148412, -146880
372955070, -26, 148452, -146921
372973040, -29, 149187, -147649
372975026, -26, 149270, -147727
372993065, -8, 149954, -148395
372994073, -8, 149989, -148426
373012032, -29, 150595, -149039
373014027, -33, 150658, -149098
373032055, -35, 151210, -149649
373033060, -34, 151239, -149678
373051031, -35, 151755, -150196
373053025, -36, 151812, -150248
373071064, -41, 152250, -150692
373072045, -41, 152272, -150714
373091031, -44, 152637, -151090
373092033, -45, 152651, -151104
373110062, -54, 152889, -151361
373111040, -54, 152899, -151370
373130031, -51, 153055, -151518
373131033, -51, 153061, -151523
373149032, -46, 153142, -151596
