# line in -x
timestamp, encoder0, encoder1, encoder2
478561044, -29, 151155, -149462
478564056, -29, 151155, -149462
478580040, -29, 151155, -149462
478584038, -29, 151155, -149462
478600040, -29, 151155, -149462
478603027, -29, 151155, -149462
478620031, -29, 151155, -149462
478622079, -29, 151155, -149462
478639031, -29, 151155, -149462
478642040, -29, 151155, -149462
478658030, -29, 151155, -149462
478662040, -29, 151155, -149462
478677031, -29, 151155, -149462
478682027, -29, 151155, -149462
478697030, -29, 151155, -149462
478701060, -29, 151155, -149462
478716040, -29, 151155, -149462
478721026, -29, 151155, -149462
478736039, -29, 151155, -149462
478740039, -29, 151155, -149462
478756040, -29, 151155, -149462
478759027, -29, 151155, -149462
478776031, -29, 151155, -149462
478778082, -29, 151155, -149462
478795032, -29, 151155, -149462
478798038, -29, 151155, -149462
478814030, -29, 151155, -149462
478818059, -29, 151155, -149462
478833052, -29, 151155, -149462
478838038, -29, 151155, -149462
478853031, -29, 151155, -149462
478858067, -29, 151155, -149462
478872048, -29, 151155, -149462
478878028, -29, 151155, -149462
478892031, -29, 151155, -149462
478897079, -29, 151155, -149462
478911043, -29, 151155, -149462
478917031, -29, 151155, -149462
478931032, -29, 151155, -149462
478936078, -29, 151155, -149462
478950046, -29, 151155, -149462
478956029, -29, 151155, -149462
478970031, -29, 151155, -149462
478975075, -29, 151155, -149462
478989042, -29, 151155, -149462
478995031, -29, 151155, -149462
479009031, -29, 151155, -149462
479015042, -29, 151155, -149462
479028042, -29, 151155, -149462
479035027, -29, 151155, -149462
479048031, -29, 151155, -149462
479054039, -29, 151155, -149462
479067066, -29, 151155, -149462
479073031, -29, 151155, -149462
479087032, -29, 151155, -149462
479092056, -29, 151155, -149462
479106057, -29, 151155, -149462
479111031, -29, 151155, -149462
479126031, -29, 151155, -149462
479131031, -29, 151155, -149462
479146069, -29, 151155, -149462
479150031, -29, 151155, -149462
479166031, -29, 151155, -149462
479170031, -29, 151155, -149462
479186053, -29, 151155, -149462
479189047, -29, 151155, -149462
479206031, -29, 151155, -149462
479209040, -29, 151155, -149462
479225031, -29, 151155, -149462
479229042, -29, 151155, -149462
479244031, -29, 151155, -149462
479249040, -29, 151155, -149462
479263031, -29, 151155, -149462
479269040, -29, 151155, -149462
479282039, -29, 151155, -149462
479289040, -29, 151155, -149462
479301031, -29, 151155, -149462
479309040, -29, 151155, -149462
